hosts,services,startup_ms,mem_rss_kb,checks_per_sec,lql_hosts_rps,lql_services_rps,lql_stats_rps,lql_hosts_p95_ms,lql_services_p95_ms
10,100,4.0,12320,10.0,6959.2,8338.2,15413.7,6.254,8.988
50,500,10.0,18720,50.0,5785.9,1678.4,6375.1,7.980,30.316
100,1000,17.0,21600,100.0,3591.8,1018.5,4496.6,14.298,47.348
200,5000,44.0,60000,500.0,2814.9,273.6,2450.1,16.436,136.856
500,10000,77.0,82016,500.5,1651.7,127.4,1269.6,40.796,284.700
1000,50000,657.0,366128,375.1,630.3,24.2,501.4,79.540,1467.978
5000,100000,782.0,737056,253.1,163.9,10.4,111.5,364.487,2699.228
10000,200000,1429.0,1374816,267.4,68.7,8.1,72.9,651.185,4930.989
50000,500000,3680.0,3288592,244.9,26.3,4.4,28.7,1965.294,8211.828
